epoch,lr,loss,iou,val_loss,val_iou
0,0.1,0.5432404160499573,0.6972734324996253,0.6117572784423828,0.8010078430190963
1,0.1,0.3334391713142395,0.7774060157644296,0.42988499999046326,0.8010078430190963
2,0.1,0.2920405507087708,0.8267621402828754,0.5143990516662598,0.8010078430190963
3,0.1,0.2658788710832596,0.8442403077902404,0.6700628399848938,0.8010078430190963
4,0.1,0.24009136855602264,0.857567093932825,0.8833591341972351,0.8010078430190963
5,0.1,0.2291853606700897,0.8642079980877113,0.9369266629219055,0.8010078430190963
6,0.1,0.22184883654117585,0.8707044236973286,0.7819913625717163,0.8010078430190963
7,0.1,0.21141544580459595,0.8735566926410138,0.6730746626853943,0.8010078430190963
8,0.1,0.20828798711299895,0.8777134451361011,0.5849844217300415,0.8010078430190963
9,0.1,0.20248970985412598,0.8793497896821552,0.7428345680236816,0.16868078590355698
10,0.1,0.21522195339202882,0.8734505800321236,0.5316148996353149,0.8010078430190963
11,0.1,0.20528697669506074,0.877833143425507,0.6329273581504822,0.8010078430190963
12,0.1,0.19359927773475646,0.883277834000578,0.8744406700134277,0.8010078430190963
13,0.1,0.18965569734573365,0.8854959168214305,0.6539689302444458,0.8010078430190963
14,0.1,0.18135047554969788,0.8903456236269913,0.5963490009307861,0.8010078430190963
15,0.1,0.18085352778434755,0.8897185223338652,0.4697197675704956,0.8010004112443949
16,0.1,0.17929911911487578,0.8908277962326362,0.5227788686752319,0.8010236509469226
17,0.1,0.17310286164283753,0.893759859606734,0.3688200116157532,0.8202745669684856
18,0.1,0.17628556489944458,0.8922516770167526,0.333381712436676,0.8337825339232658
19,0.1,0.1763523578643799,0.8921990414443302,0.33867624402046204,0.8432315061643896
20,0.1,0.1726873427629471,0.894993574656191,0.3402508795261383,0.846513487164691
21,0.1,0.17328039407730103,0.8937167244124451,0.31943416595458984,0.8516459468036818
22,0.1,0.16804667711257934,0.897776676325027,0.32021111249923706,0.8439891101384553
23,0.1,0.1670852333307266,0.8974494190139615,0.31430840492248535,0.8470422326539998
24,0.1,0.170976123213768,0.8963394416332124,0.3223443925380707,0.8541831970691126
25,0.1,0.17436954081058503,0.8942696092111785,0.3498125374317169,0.854165100271074
26,0.1,0.1703985244035721,0.8962106014941059,0.4131940007209778,0.8520740619605925
27,0.1,0.17127206325531005,0.8959086851561756,0.36164259910583496,0.8550769982222046
28,0.1,0.16820594668388367,0.8969894574713817,0.3329659700393677,0.8517597238169223
29,0.1,0.17007335424423217,0.8957086874981084,0.3340322971343994,0.8494050908874087
30,0.1,0.1619092345237732,0.9006984726885244,0.3179428279399872,0.8518620114276059
31,0.1,0.1636262208223343,0.9002333213334702,0.3194226026535034,0.8510975025400944
